type,wheel_name,wheel_ref,axle_type,overall_a,overall_b,overall_c,tolerance_a,tolerance_b,tolerance_c,f_shank_min,f_shank_max,h2h_min,h2h_max,b2b_min,b2b_max,chassis_span
hw,,MW,SCA,10.97,5.33,6.55,0.05,0.05,0.12,0.162,0.175,1.15,1.17,,,
hw,,MW,XLA ,10.97,5.33,6.55,0.05,0.05,0.12,0.162,0.175,1.195,1.215,0.821,0.867,0.789
hw,,MW,S2,10.97,5.33,6.55,0.05,0.05,0.12,0.162,0.175,1.28,1.3,-,-,
hw,,MW,DA,10.97,5.33,6.55,0.05,0.05,0.12,0.162,0.175,1.33,1.35,-,-,-
hw,,MW,S3,10.97,5.33,6.55,0.05,0.05,0.12,0.162,0.175,1.435,1.455,-,-,
hw,,LW,SA,12.62,5.33,6.55,0.05,0.05,0.12,0.162,0.175,0.83,0.85,0.456,0.502,0.43
hw,,LW,S1,12.62,5.33,6.55,0.05,0.05,0.12,0.162,0.175,0.915,0.935,0.541,0.587,0.511 / 0.528
hw,,LW,MA ,12.62,5.33,6.55,0.05,0.05,0.12,0.162,0.175,0.96,0.98,0.586,0.632,0.559 / 0.581
hw,,LW,IA ,12.62,5.33,6.55,0.05,0.05,0.12,0.162,0.175,0.99,1.01,0.616,0.662,0.589
hw,,LW,RA,12.62,5.33,6.55,0.05,0.05,0.12,0.162,0.175,1.025,1.045,-,-,
hw,,LW,SRA,12.62,5.33,6.55,0.05,0.05,0.12,0.162,0.175,1.05,1.07,,,
hw,,LW,LA,12.62,5.33,6.55,0.05,0.05,0.12,0.162,0.175,1.08,1.1,0.706,0.752,0.689
hw,,LW,TSA,12.62,5.33,6.55,0.05,0.05,0.12,0.162,0.175,1.095,1.115,0.721,0.767,0.689
hw,,LW,CA,12.62,5.33,6.55,0.05,0.05,0.12,0.162,0.175,1.12,1.14,-,-,
hw,,LW,SCA,12.62,5.33,6.55,0.05,0.05,0.12,0.162,0.175,1.15,1.17,,,
hw,,LW,XLA ,12.62,5.33,6.55,0.05,0.05,0.12,0.162,0.175,1.195,1.215,0.821,0.867,0.789 / 0.802
hw,,LW,S2,12.62,5.33,6.55,0.05,0.05,0.12,0.162,0.175,1.28,1.3,0.906,0.952,0.889
hw,,LW,DA,12.62,5.33,6.55,0.05,0.05,0.12,0.162,0.175,1.33,1.35,0.956,1.002,0.944
hw,,LW,S3,12.62,5.33,6.55,0.05,0.05,0.12,0.162,0.175,1.435,1.455,1.061,1.107,1.019
hw,,LWW,SA,12.57,7.11,8.26,0.05,0.05,0.12,0.22,0.23,0.83,0.85,-,-,
hw,,LWW,S1,12.57,7.11,8.26,0.05,0.05,0.12,0.22,0.23,0.915,0.935,-,-,
hw,,LWW,MA ,12.57,7.11,8.26,0.05,0.05,0.12,0.22,0.23,0.96,0.98,0.476,0.516,
hw,,LWW,IA ,12.57,7.11,8.26,0.05,0.05,0.12,0.22,0.23,0.99,1.01,0.506,0.546,
hw,,LWW,RA,12.57,7.11,8.26,0.05,0.05,0.12,0.22,0.23,1.025,1.045,0.541,0.581,0.511
hw,,LWW,SRA,12.57,7.11,8.26,0.05,0.05,0.12,0.22,0.23,1.05,1.07,,,
hw,,LWW,LA,12.57,7.11,8.26,0.05,0.05,0.12,0.22,0.23,1.08,1.1,0.596,0.636,
hw,,LWW,TSA,12.57,7.11,8.26,0.05,0.05,0.12,0.22,0.23,1.095,1.115,0.611,0.651,0.581
hw,,LWW,CA,12.57,7.11,8.26,0.05,0.05,0.12,0.22,0.23,1.12,1.14,-,-,
hw,,LWW,SCA,12.57,7.11,8.26,0.05,0.05,0.12,0.22,0.23,1.15,1.17,,,
hw,,LWW,XLA ,12.57,7.11,8.26,0.05,0.05,0.12,0.22,0.23,1.195,1.215,0.711,0.751,0.689
hw,,LWW,S2,12.57,7.11,8.26,0.05,0.05,0.12,0.22,0.23,1.28,1.3,0.796,0.836,0.789
hw,,LWW,DA,12.57,7.11,8.26,0.05,0.05,0.12,0.22,0.23,1.33,1.35,,,0.789
hw,,LWW,S3,12.57,7.11,8.26,0.05,0.05,0.12,0.22,0.23,1.435,1.455,-,-,
hw,,XLW,SA,14.73,5.33,6.55,0.05,0.05,0.12,0.162,0.175,0.83,0.85,0.456,0.502,0.43
hw,,XLW,S1,14.73,5.33,6.55,0.05,0.05,0.12,0.162,0.175,0.915,0.935,-,-,0.511 / 0.528
hw,,XLW,MA ,14.73,5.33,6.55,0.05,0.05,0.12,0.162,0.175,0.96,0.98,0.586,0.632,0.559
hw,,XLW,IA ,14.73,5.33,6.55,0.05,0.05,0.12,0.162,0.175,0.99,1.01,0.616,0.662,0.589
hw,,XLW,RA,14.73,5.33,6.55,0.05,0.05,0.12,0.162,0.175,1.025,1.045,0.651,0.697,
hw,,XLW,SRA,14.73,5.33,6.55,0.05,0.05,0.12,0.162,0.175,1.05,1.07,,,
hw,,XLW,LA,14.73,5.33,6.55,0.05,0.05,0.12,0.162,0.175,1.08,1.1,0.706,0.752,0.689
hw,,XLW,TSA,14.73,5.33,6.55,0.05,0.05,0.12,0.162,0.175,1.095,1.115,0.721,0.767,0.689
hw,,XLW,CA,14.73,5.33,6.55,0.05,0.05,0.12,0.162,0.175,1.12,1.14,-,-,
hw,,XLW,SCA,14.73,5.33,6.55,0.05,0.05,0.12,0.162,0.175,1.15,1.17,,,
hw,,XLW,XLA ,14.73,5.33,6.55,0.05,0.05,0.12,0.162,0.175,1.195,1.215,0.821,0.867,0.789
hw,,XLW,S2,14.73,5.33,6.55,0.05,0.05,0.12,0.162,0.175,1.28,1.3,0.906,0.952,0.889
hw,,XLW,DA,14.73,5.33,6.55,0.05,0.05,0.12,0.162,0.175,1.33,1.35,-,-,
hw,,XLW,S3,14.73,5.33,6.55,0.05,0.05,0.12,0.162,0.175,1.435,1.455,1.061,1.107,1.019
hw,,XLWW,SA,14.73,7.62,8.38,0.05,0.05,0.12,0.235,0.245,0.83,0.85,-,-,
hw,,XLWW,S1,14.73,7.62,8.38,0.05,0.05,0.12,0.235,0.245,0.915,0.935,-,-,
hw,,XLWW,MA ,14.73,7.62,8.38,0.05,0.05,0.12,0.235,0.245,0.96,0.98,0.446,0.486,0.43
hw,,XLWW,IA ,14.73,7.62,8.38,0.05,0.05,0.12,0.235,0.245,0.99,1.01,0.476,0.516,0.445
hw,,XLWW,RA,14.73,7.62,8.38,0.05,0.05,0.12,0.235,0.245,1.025,1.045,0.511,0.551,
hw,,XLWW,SRA,14.73,7.62,8.38,0.05,0.05,0.12,0.235,0.245,1.05,1.07,,,
hw,,XLWW,LA,14.73,7.62,8.38,0.05,0.05,0.12,0.235,0.245,1.08,1.1,0.566,0.606,0.559
hw,,XLWW,TSA,14.73,7.62,8.38,0.05,0.05,0.12,0.235,0.245,1.095,1.115,0.581,0.621,0.559
hw,,XLWW,CA,14.73,7.62,8.38,0.05,0.05,0.12,0.235,0.245,1.12,1.14,-,-,
hw,,XLWW,SCA,14.73,7.62,8.38,0.05,0.05,0.12,0.235,0.245,1.15,1.17,,,
hw,,XLWW,XLA ,14.73,7.62,8.38,0.05,0.05,0.12,0.235,0.245,1.195,1.215,0.681,0.721,
hw,,XLWW,S2,14.73,7.62,8.38,0.05,0.05,0.12,0.235,0.245,1.28,1.3,-,-,
hw,,XLWW,DA,14.73,7.62,8.38,0.05,0.05,0.12,0.235,0.245,1.33,1.35,0.816,0.856,0.789
hw,,XLWW,S3,14.73,7.62,8.38,0.05,0.05,0.12,0.235,0.245,1.435,1.455,0.921,0.961,0.889
hw,,XXLWW,SA,17.4,7.62,8.51,0.05,0.05,0.12,0.235,0.245,0.83,0.85,-,-,
hw,,XXLWW,S1,17.4,7.62,8.51,0.05,0.05,0.12,0.235,0.245,0.915,0.935,-,-,
