type,wheel_name,wheel_ref,axle_type,overall_a,overall_b,overall_c,tolerance_a,tolerance_b,tolerance_c,f_shank_min,f_shank_max,h2h_min,h2h_max,b2b_min,b2b_max,chassis_span
mb,,JHM27,AX1,14.73,5.33,6.55,0.05,0.05,0.12,0.175,0.185,0.91,0.94,,,0.489
mb,,J2379,AX2,12.7,5.3,6.7,0.05,0.05,0.05,0.175,0.185,0.96,0.99,0.566,0.616,0.54
mb,,GMD01,AX2,12.7,5.3,6.7,0.05,0.05,0.05,0.175,0.185,0.96,0.99,0.566,0.616,0.54
mb,,J2375,AX2,12.6,5.2,6.4,0.05,0.05,0.05,0.175,0.185,0.96,0.99,0.566,0.616,0.54
mb,,J6609,AX2,12.6,5.5,6.5,0.05,0.05,0.05,0.175,0.185,0.96,0.99,0.566,0.616,0.54
mb,,M2635 (MW),AX2,11.3,5.8,6.7,0.05,0.2,0.05,0.165,0.17,0.95,0.97,0.586,0.616,0.54
mb,,HKW29,AX2,11.3,5.8,6.7,0.05,0.2,0.05,0.165,0.17,0.95,0.97,0.586,0.616,0.54
mb,,M2635 (LW),AX2,12.6,5.6,6.7,0.05,0.05,0.05,0.16,0.17,0.95,0.97,0.586,0.626,0.54
mb,,M2633,AX2,11.7,5.4,6.9,0.05,0.05,0.05,0.175,0.185,0.96,0.99,0.566,0.616,0.54
mb,,R0462,AX2,10.8,5.3,6.6,0.05,0.05,0.05,0.165,0.175,0.93,0.96,0.556,0.606,0.54
mb,,R0456,AX2,10.9,5,6.5,0.05,0.05,0.05,0.16,0.17,0.93,0.96,0.566,0.616,0.54
mb,,X4888,AX2,16.9,7.7,10,0.05,0.05,0.05,0.275,0.29,1.18,1.21,0.576,0.636,0.54
mb,,X4889,AX2,16.9,7.7,10,0.05,0.05,0.05,0.275,0.29,1.18,1.21,0.576,0.636,0.54
mb,,J6614,AX2,17,8.9,10,0.05,0.05,0.05,0.28,0.295,1.18,1.21,0.566,0.626,0.54
mb,,M2631,AX2,13.3,5.9,7,0.05,0.05,0.05,0.171,0.181,0.95,0.98,0.564,0.614,0.54
mb,,DVK24,AX2,13.3,5.9,7,0.05,0.05,0.05,0.171,0.181,0.95,0.98,0.564,0.614,0.54
mb,,J2369,AX2,11.7,5.8,6.8,0.05,0.05,0.05,0.15,0.16,0.93,0.96,0.566,0.616,0.54
mb,,K9482,AX2,12.6,5.8,6.5,0.05,0.05,0.05,0.145,0.16,0.9,0.93,0.556,0.616,0.54
mb,,J6299,AX2,11.3,5.7,6.8,0.05,0.05,0.05,0.147,0.157,0.91,0.94,0.572,0.622,0.54
